id,org_name,branch,level_1_code,level_1_value,level_2_code,level_2_value,level_3_code,level_3_value,parent_org_id,parent_org_name,top_org_id,top_org_name,province_code,city_code,district_code,create_time,enabled,address
C1010233008083,中国工商银行股份有限公司宁波槐树路支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北区江安路452号1-12
C1010233008107,中国工商银行股份有限公司宁波洪都支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北区洪都路219、221、223号
C1010233008118,中国工商银行股份有限公司宁波育才支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市范江岸路176、176-1号
C1010233008129,中国工商银行股份有限公司宁波新马路支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北区清河路1号
C1010233008130,中国工商银行股份有限公司宁波梅墟支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区梅墟路478-484号（双号），江南路2000号
C1010233008141,中国工商银行股份有限公司宁波邱隘支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区邱隘镇中路51号
C1010233008152,中国工商银行股份有限公司宁波东钱湖支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区东钱湖镇环湖北路394-402号
C1010233008163,中国工商银行股份有限公司宁波姜山支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区姜山人民路
C1010233008174,中国工商银行股份有限公司宁波石碶支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233008959,中国工商银行股份有限公司宁波明州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区石碶镇雅戈尔大道126-2号
C1010233008185,中国工商银行股份有限公司宁波下应支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区下应街道河东村镇东路151、153、155、157、159、161、163、165、167号
C1010233008196,中国工商银行股份有限公司宁波甬港支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007958,中国工商银行股份有限公司宁波兴宁支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市甬港南路28号
C1010233008209,中国工商银行股份有限公司宁波新城支行第三分理处,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市东钱湖镇东海舰队八工区松涛南路
C1010233008210,中国工商银行股份有限公司宁波宋诏桥支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007958,中国工商银行股份有限公司宁波兴宁支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市永达路20-28号
C1010233008221,中国工商银行股份有限公司宁波鄞江支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,鄞州区鄞江镇光溪村四明东路绿顺商厦一楼
C1010233008243,中国工商银行股份有限公司宁波东城支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007958,中国工商银行股份有限公司宁波兴宁支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市百丈东路760号
C1010233008254,中国工商银行股份有限公司宁波万达支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波鄞州区钟公庙街道四明中路956号
C1010233008265,中国工商银行股份有限公司宁波潘火支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区潘火街道宜园路86、88、90、92、94、96、98、100号
C1010233008276,中国工商银行股份有限公司宁波东方支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007594,中国工商银行股份有限公司宁波鄞州支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波鄞州区中河街道嵩江中路523、525号
